source,valuation,duration_h,unit,value_gbp_annualized_m,gbp_per_mw_year_k,market_basis,foresight,policy_type,scope,strict_like_for_like_to,key_difference
nr20,DA,1.0,GBPm/year for 100 MW,1.9819673069506714,19.819673069506713,Actual DA prices,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",nr13 Perfect foresight (DA energy),Actual historical DA path rather than HPFC-anchored simulated DA paths.
nr20,SP_perfect_foresight,1.0,GBPm/year for 100 MW,7.172619730986258,71.72619730986258,Actual system prices,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",None; upper-bound context for imbalance value,Uses realized system prices with perfect foresight; not a tradable nr13 policy.
nr20,WD60_perfect_foresight,1.0,GBPm/year for 100 MW,6.734090604743988,67.34090604743989,Actual DA plus SP-DA spread capped at GBP60/MWh,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",None; context for WD/MODO volatility capture,Uses realized imbalance spread capped at GBP60/MWh with perfect foresight.
nr13,Initial hourly intrinsic,1.0,GBPm/year for 100 MW,0.9706157582722308,9.706157582722309,HPFC hourly curve,Deterministic daily HPFC look-ahead,Daily intrinsic LP,Energy-only,None; methodological context,"Deterministic forward curve, not historical actual prices."
nr13,DA rolling intrinsic,1.0,GBPm/year for 100 MW,1.6256044742712434,16.256044742712433,HPFC-anchored simulated DA paths,Rolling finite-window look-ahead,Rolling intrinsic LP,DA energy-only,None; methodological context,"Rolling policy on simulated paths, not full historical perfect foresight."
nr13,WD rolling intrinsic,1.0,GBPm/year for 100 MW,2.67043942236579,26.7043942236579,HPFC-anchored simulated WD paths,Rolling finite-window look-ahead,Rolling intrinsic LP,WD energy-only,None; methodological context,"Rolling policy on simulated WD paths, not realized SP/WD perfect foresight."
nr13,MODO style forward look,1.0,GBPm/year for 100 MW,7.078777649316927,70.78777649316928,"HPFC-anchored simulated WD paths, GBP60/MWh WD cap",Rolling finite-window look-ahead,Rolling intrinsic LP,WD energy-only with MODO-style cap,None; context for WD/MODO volatility capture,Uses MODO-style WD cap on simulated paths; closest context to nr20 WD60 but not like-for-like.
nr13,Forward simulation (LSMC),1.0,GBPm/year for 100 MW,1.9066695115759955,19.06669511575996,HPFC-anchored simulated full-stack paths,Non-anticipative learned policy,Forward policy simulation,Full stack: DA plus ancillary/BM modes,None; methodological context,"Non-anticipative full-stack policy, not energy-only perfect foresight."
nr13,Perfect foresight (DA energy),1.0,GBPm/year for 100 MW,1.561172664526811,15.611726645268108,HPFC-anchored simulated DA paths,Full simulated-path perfect foresight,Full-horizon deterministic LP,DA energy-only upper bound,nr20 DA,"Same LP style as nr20 DA, but on HPFC-anchored simulated DA paths."
nr20,DA,2.0,GBPm/year for 100 MW,3.603985716002265,36.03985716002265,Actual DA prices,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",nr13 Perfect foresight (DA energy),Actual historical DA path rather than HPFC-anchored simulated DA paths.
nr20,SP_perfect_foresight,2.0,GBPm/year for 100 MW,10.651073418815898,106.51073418815899,Actual system prices,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",None; upper-bound context for imbalance value,Uses realized system prices with perfect foresight; not a tradable nr13 policy.
nr20,WD60_perfect_foresight,2.0,GBPm/year for 100 MW,10.049472352428271,100.4947235242827,Actual DA plus SP-DA spread capped at GBP60/MWh,Full historical perfect foresight,Full-horizon deterministic LP,"Energy-only price path, VOM/degradation as configured",None; context for WD/MODO volatility capture,Uses realized imbalance spread capped at GBP60/MWh with perfect foresight.
nr13,Initial hourly intrinsic,2.0,GBPm/year for 100 MW,1.8574173918294377,18.574173918294377,HPFC hourly curve,Deterministic daily HPFC look-ahead,Daily intrinsic LP,Energy-only,None; methodological context,"Deterministic forward curve, not historical actual prices."
nr13,DA rolling intrinsic,2.0,GBPm/year for 100 MW,3.096094968277456,30.96094968277456,HPFC-anchored simulated DA paths,Rolling finite-window look-ahead,Rolling intrinsic LP,DA energy-only,None; methodological context,"Rolling policy on simulated paths, not full historical perfect foresight."
nr13,WD rolling intrinsic,2.0,GBPm/year for 100 MW,4.467542407435845,44.675424074358446,HPFC-anchored simulated WD paths,Rolling finite-window look-ahead,Rolling intrinsic LP,WD energy-only,None; methodological context,"Rolling policy on simulated WD paths, not realized SP/WD perfect foresight."
nr13,MODO style forward look,2.0,GBPm/year for 100 MW,9.877824312412477,98.77824312412476,"HPFC-anchored simulated WD paths, GBP60/MWh WD cap",Rolling finite-window look-ahead,Rolling intrinsic LP,WD energy-only with MODO-style cap,None; context for WD/MODO volatility capture,Uses MODO-style WD cap on simulated paths; closest context to nr20 WD60 but not like-for-like.
nr13,Forward simulation (LSMC),2.0,GBPm/year for 100 MW,3.9649995893182406,39.64999589318241,HPFC-anchored simulated full-stack paths,Non-anticipative learned policy,Forward policy simulation,Full stack: DA plus ancillary/BM modes,None; methodological context,"Non-anticipative full-stack policy, not energy-only perfect foresight."
nr13,Perfect foresight (DA energy),2.0,GBPm/year for 100 MW,2.9663139560240017,29.66313956024002,HPFC-anchored simulated DA paths,Full simulated-path perfect foresight,Full-horizon deterministic LP,DA energy-only upper bound,nr20 DA,"Same LP style as nr20 DA, but on HPFC-anchored simulated DA paths."
